source_route,target_route,facility_overlap,od_overlap,minimum_facility_distance_km,airport_compatible,same_base_airport,target_residual_sum,target_residual_min,residual_seat_complementarity,land_reassignment_compatible,shuttle_interaction
1,11,0,0,86.0,True,False,13,0,13,True,False
1,12,0,0,50.0,True,False,17,0,17,True,False
1,13,0,0,114.0,True,False,4,0,4,True,False
1,14,0,0,176.0,True,False,4,0,4,True,False
1,15,0,0,87.0,True,True,0,0,0,True,False
1,16,0,0,207.0,True,False,6,0,6,True,False
1,17,0,0,217.0,True,False,10,0,10,True,False
1,18,0,0,191.0,True,False,20,0,20,True,False
1,19,0,0,217.0,True,False,0,0,0,True,False
1,20,0,0,191.0,True,False,22,0,22,True,False
1,21,0,0,211.0,True,False,12,0,12,True,False
1,22,0,0,140.0,True,False,6,0,6,True,False
1,23,0,0,186.0,True,False,2,0,2,True,False
1,24,0,0,227.0,True,False,4,0,4,True,False
1,25,0,0,116.0,True,False,8,4,8,True,False
1,26,0,0,40.0,True,False,1,0,1,True,False
1,27,0,0,114.0,True,False,4,0,4,True,False
1,28,0,0,130.0,True,False,2,0,2,True,False
1,29,0,0,141.0,True,False,10,5,10,True,False
1,30,0,0,186.0,True,False,3,0,3,True,False
1,31,0,0,141.0,True,False,9,0,9,True,False
1,32,0,0,130.0,True,False,0,0,0,True,False
1,33,0,0,164.0,True,False,2,0,2,True,False
1,34,0,0,16.0,True,False,0,0,0,True,False
1,35,0,0,67.0,True,False,1,0,1,True,False
1,36,0,0,50.0,True,False,8,1,8,True,False
1,37,0,0,16.0,True,True,20,0,20,True,False
1,38,0,0,38.0,True,False,3,1,3,True,False
1,39,0,0,38.0,True,True,1,0,1,True,False
1,40,1,1,0.0,True,False,12,0,12,True,False
1,41,0,0,20.0,True,False,6,0,6,True,False
1,42,0,0,190.0,True,False,8,0,8,True,False
1,43,0,0,57.0,True,False,0,0,0,True,False
1,44,0,0,30.0,True,False,4,0,4,True,False
1,45,0,0,30.0,True,True,11,0,11,True,False
1,46,0,0,98.0,True,False,11,0,11,True,False
1,47,0,0,164.0,True,False,6,0,6,True,False
1,48,0,0,164.0,True,False,2,0,2,True,False
1,49,0,0,140.0,True,False,24,0,24,True,False
1,50,0,0,140.0,True,False,21,0,21,True,False
1,51,0,0,140.0,True,False,16,0,16,True,False
1,52,0,0,322.0,True,False,2,0,2,True,False
1,53,0,0,190.0,True,False,0,0,0,True,False
1,54,0,0,89.0,True,False,7,1,7,True,False
1,55,0,0,73.0,True,False,13,0,13,True,False
1,56,0,0,232.0,True,False,6,0,6,True,False
1,57,0,0,207.0,True,False,1,0,1,True,False
1,58,0,0,232.0,True,False,10,0,10,True,False
1,59,0,0,62.0,True,True,0,0,0,True,False
1,60,0,0,30.0,True,True,25,0,24,True,False
1,61,0,0,67.0,True,False,11,1,11,True,False
1,62,0,0,89.0,True,False,14,2,14,True,False
1,63,0,0,89.0,True,False,5,0,5,True,False
1,64,0,0,50.0,True,False,0,0,0,True,False
1,65,0,0,259.0,True,False,21,2,21,True,False
1,66,0,0,232.0,True,False,13,0,13,True,False
1,67,0,0,259.0,True,False,0,0,0,True,False
1,68,0,0,283.0,True,False,14,0,14,True,False
1,69,0,0,97.0,True,False,0,0,0,True,False
1,70,0,0,113.0,True,False,9,0,9,True,False
1,71,0,0,32.0,True,False,0,0,0,True,False
1,72,0,0,57.0,True,True,0,0,0,True,False
1,73,0,0,57.0,True,False,6,1,6,True,False
1,74,0,0,57.0,True,False,34,0,24,True,False
1,75,0,0,39.0,True,True,9,0,9,True,False
1,76,1,2,0.0,True,True,16,0,16,True,False
1,77,0,0,20.0,True,False,15,0,15,True,False
1,78,1,1,0.0,True,True,11,0,11,True,True
1,79,0,0,32.0,True,True,19,0,19,True,False
1,80,0,0,39.0,True,False,0,0,0,True,False
1,81,0,0,39.0,True,True,14,0,14,True,False
1,82,0,0,75.0,True,True,9,0,9,True,False
1,83,0,0,75.0,True,True,5,0,5,True,False
1,84,0,0,87.0,True,True,12,0,12,True,False
1,85,0,0,75.0,True,True,17,0,17,True,False
1,86,0,0,39.0,True,True,11,0,11,True,False
1,87,0,0,86.0,True,False,9,1,9,True,False
1,88,0,0,86.0,True,False,5,0,5,True,False
1,89,0,0,86.0,True,False,7,0,7,True,False
1,90,0,0,50.0,True,False,1,0,1,True,False
1,91,0,0,62.0,True,False,4,0,4,True,False
1,92,0,0,62.0,True,True,16,0,16,True,False
1,93,0,0,40.0,True,False,19,0,19,True,False
1,94,0,0,40.0,True,True,2,0,2,True,False
2,0,0,0,24.0,True,True,10,0,10,True,False
2,1,0,0,43.0,True,False,0,0,0,True,False
2,3,1,2,0.0,True,True,0,0,0,True,False
2,4,0,0,15.0,True,True,0,0,0,True,False
2,5,0,0,148.0,True,True,0,0,0,True,False
2,6,0,0,204.0,True,False,0,0,0,True,False
2,7,0,0,96.0,True,True,0,0,0,True,False
2,8,0,0,96.0,True,False,4,0,4,True,False
2,9,0,0,164.0,True,True,0,0,0,True,False
2,10,0,0,164.0,True,True,12,0,12,True,False
2,11,0,0,49.0,True,True,13,0,13,True,False
2,12,0,0,26.0,True,True,17,0,17,True,False
2,13,0,0,71.0,True,True,4,0,4,True,False
2,14,0,0,134.0,True,True,4,0,4,True,False
2,15,0,0,130.0,True,False,0,0,0,True,False
2,16,0,0,164.0,True,True,6,0,6,True,False
2,17,0,0,174.0,True,True,10,0,10,True,False
2,18,0,0,148.0,True,True,20,0,20,True,False
2,19,0,0,174.0,True,True,0,0,0,True,False
2,20,0,0,148.0,True,True,22,0,22,True,False
2,21,0,0,253.0,True,False,12,0,12,True,False
2,22,0,0,176.0,True,False,6,0,6,True,False
2,23,0,0,143.0,True,True,2,0,2,True,False
2,24,0,0,184.0,True,True,4,0,4,True,False
2,25,0,0,75.0,True,True,8,4,8,True,False
2,26,0,0,23.0,True,True,1,0,1,True,False
2,27,0,0,71.0,True,True,4,0,4,True,False
2,28,0,0,171.0,True,False,2,0,2,True,False
2,29,0,0,99.0,True,True,10,5,10,True,False
2,30,0,0,143.0,True,True,3,0,3,True,False
2,31,0,0,99.0,True,True,9,0,9,True,False
2,32,0,0,171.0,True,False,0,0,0,True,False
2,33,0,0,204.0,True,False,2,0,2,True,False
2,34,0,0,57.0,True,True,0,0,0,True,False
2,35,0,0,25.0,True,True,1,0,1,True,False
2,36,0,0,26.0,True,True,8,1,8,True,False
2,37,0,0,57.0,True,False,20,0,20,True,False
2,38,0,0,58.0,True,True,3,1,3,True,False
2,39,0,0,58.0,True,False,1,0,1,True,False
2,40,0,0,43.0,True,True,12,0,12,True,False
2,41,0,0,42.0,True,True,6,0,6,True,False
2,42,0,0,229.0,True,False,8,0,8,True,False
2,43,0,0,24.0,True,True,0,0,0,True,False
2,44,0,0,15.0,True,True,4,0,4,True,False
2,45,1,2,0.0,True,False,11,0,11,True,False
2,46,0,0,137.0,True,False,11,0,11,True,False
2,47,0,0,204.0,True,False,6,0,6,True,False
2,48,0,0,204.0,True,False,2,0,2,True,False
2,49,0,0,176.0,True,False,24,0,24,True,False
2,50,0,0,176.0,True,False,21,0,21,True,False
2,51,0,0,176.0,True,False,16,0,16,True,False
2,52,0,0,364.0,True,False,2,0,2,True,False
2,53,0,0,229.0,True,False,0,0,0,True,False
2,54,0,0,49.0,True,True,7,1,7,True,False
2,55,0,0,31.0,True,True,13,0,13,True,False
2,56,0,0,273.0,True,False,6,0,6,True,False
2,57,0,0,247.0,True,False,1,0,1,True,False
2,58,0,0,273.0,True,False,10,0,10,True,False
2,59,0,0,23.0,True,False,0,0,0,True,False
2,60,0,0,15.0,True,False,25,0,25,True,False
2,61,0,0,25.0,True,True,11,1,11,True,False
2,62,0,0,46.0,True,True,14,2,14,True,False
2,63,0,0,49.0,True,True,5,0,5,True,False
2,64,0,0,25.0,True,True,0,0,0,True,False
2,65,0,0,300.0,True,False,21,2,21,True,False
2,66,0,0,273.0,True,False,13,0,13,True,False
2,67,0,0,300.0,True,False,0,0,0,True,False
2,68,0,0,325.0,True,False,14,0,14,True,False
2,69,0,0,138.0,True,False,0,0,0,True,False
2,70,0,0,153.0,True,False,9,0,9,True,False
2,71,0,0,74.0,True,True,0,0,0,True,False
2,72,0,0,96.0,True,False,0,0,0,True,False
2,73,0,0,96.0,True,False,6,1,6,True,False
2,74,0,0,96.0,True,False,34,0,32,True,False
2,75,0,0,75.0,True,False,9,0,9,True,False
2,76,0,0,42.0,True,False,16,0,16,True,False
2,77,0,0,42.0,True,True,15,0,15,True,False
2,78,0,0,42.0,True,False,11,0,11,True,False
2,79,0,0,74.0,True,False,19,0,19,True,False
2,80,0,0,75.0,True,True,0,0,0,True,False
2,81,0,0,75.0,True,False,14,0,14,True,False
2,82,0,0,118.0,True,False,9,0,9,True,False
2,83,0,0,118.0,True,False,5,0,5,True,False
2,84,0,0,130.0,True,False,12,0,12,True,False
2,85,0,0,118.0,True,False,17,0,17,True,False
2,86,0,0,75.0,True,False,11,0,11,True,False
2,87,0,0,49.0,True,True,9,1,9,True,False
2,88,0,0,46.0,True,True,5,0,5,True,False
2,89,0,0,49.0,True,True,7,0,7,True,False
2,90,0,0,26.0,True,True,1,0,1,True,False
2,91,0,0,23.0,True,True,4,0,4,True,False
2,92,0,0,23.0,True,False,16,0,16,True,False
2,93,0,0,26.0,True,True,19,0,19,True,False
2,94,1,1,0.0,True,False,2,0,2,True,True
3,0,0,0,24.0,True,True,10,0,10,True,False
3,1,0,0,43.0,True,False,0,0,0,True,False
3,2,1,2,0.0,True,True,0,0,0,True,False
3,4,0,0,15.0,True,True,0,0,0,True,False
3,5,0,0,148.0,True,True,0,0,0,True,False
3,6,0,0,204.0,True,False,0,0,0,True,False
3,7,0,0,96.0,True,True,0,0,0,True,False
3,8,0,0,96.0,True,False,4,0,4,True,False
3,9,0,0,164.0,True,True,0,0,0,True,False
3,10,0,0,164.0,True,True,12,0,12,True,False
3,11,0,0,49.0,True,True,13,0,13,True,False
3,12,0,0,26.0,True,True,17,0,17,True,False
3,13,0,0,71.0,True,True,4,0,4,True,False
3,14,0,0,134.0,True,True,4,0,4,True,False
3,15,0,0,130.0,True,False,0,0,0,True,False
3,16,0,0,164.0,True,True,6,0,6,True,False
3,17,0,0,174.0,True,True,10,0,10,True,False
3,18,0,0,148.0,True,True,20,0,20,True,False
3,19,0,0,174.0,True,True,0,0,0,True,False
3,20,0,0,148.0,True,True,22,0,22,True,False
3,21,0,0,253.0,True,False,12,0,12,True,False
3,22,0,0,176.0,True,False,6,0,6,True,False
3,23,0,0,143.0,True,True,2,0,2,True,False
3,24,0,0,184.0,True,True,4,0,4,True,False
3,25,0,0,75.0,True,True,8,4,8,True,False
3,26,0,0,23.0,True,True,1,0,1,True,False
3,27,0,0,71.0,True,True,4,0,4,True,False
3,28,0,0,171.0,True,False,2,0,2,True,False
3,29,0,0,99.0,True,True,10,5,10,True,False
3,30,0,0,143.0,True,True,3,0,3,True,False
3,31,0,0,99.0,True,True,9,0,9,True,False
3,32,0,0,171.0,True,False,0,0,0,True,False
3,33,0,0,204.0,True,False,2,0,2,True,False
3,34,0,0,57.0,True,True,0,0,0,True,False
3,35,0,0,25.0,True,True,1,0,1,True,False
3,36,0,0,26.0,True,True,8,1,8,True,False
3,37,0,0,57.0,True,False,20,0,20,True,False
3,38,0,0,58.0,True,True,3,1,3,True,False
3,39,0,0,58.0,True,False,1,0,1,True,False
3,40,0,0,43.0,True,True,12,0,12,True,False
3,41,0,0,42.0,True,True,6,0,6,True,False
3,42,0,0,229.0,True,False,8,0,8,True,False
3,43,0,0,24.0,True,True,0,0,0,True,False
3,44,0,0,15.0,True,True,4,0,4,True,False
3,45,1,2,0.0,True,False,11,0,11,True,False
3,46,0,0,137.0,True,False,11,0,11,True,False
3,47,0,0,204.0,True,False,6,0,6,True,False
3,48,0,0,204.0,True,False,2,0,2,True,False
3,49,0,0,176.0,True,False,24,0,24,True,False
3,50,0,0,176.0,True,False,21,0,21,True,False
3,51,0,0,176.0,True,False,16,0,16,True,False
3,52,0,0,364.0,True,False,2,0,2,True,False
3,53,0,0,229.0,True,False,0,0,0,True,False
3,54,0,0,49.0,True,True,7,1,7,True,False
3,55,0,0,31.0,True,True,13,0,13,True,False
3,56,0,0,273.0,True,False,6,0,6,True,False
3,57,0,0,247.0,True,False,1,0,1,True,False
3,58,0,0,273.0,True,False,10,0,10,True,False
3,59,0,0,23.0,True,False,0,0,0,True,False
3,60,0,0,15.0,True,False,25,0,25,True,False
3,61,0,0,25.0,True,True,11,1,11,True,False
3,62,0,0,46.0,True,True,14,2,14,True,False
3,63,0,0,49.0,True,True,5,0,5,True,False
3,64,0,0,25.0,True,True,0,0,0,True,False
3,65,0,0,300.0,True,False,21,2,21,True,False
3,66,0,0,273.0,True,False,13,0,13,True,False
3,67,0,0,300.0,True,False,0,0,0,True,False
3,68,0,0,325.0,True,False,14,0,14,True,False
3,69,0,0,138.0,True,False,0,0,0,True,False
3,70,0,0,153.0,True,False,9,0,9,True,False
3,71,0,0,74.0,True,True,0,0,0,True,False
3,72,0,0,96.0,True,False,0,0,0,True,False
3,73,0,0,96.0,True,False,6,1,6,True,False
3,74,0,0,96.0,True,False,34,0,32,True,False
3,75,0,0,75.0,True,False,9,0,9,True,False
3,76,0,0,42.0,True,False,16,0,16,True,False
3,77,0,0,42.0,True,True,15,0,15,True,False
3,78,0,0,42.0,True,False,11,0,11,True,False
3,79,0,0,74.0,True,False,19,0,19,True,False
3,80,0,0,75.0,True,True,0,0,0,True,False
3,81,0,0,75.0,True,False,14,0,14,True,False
3,82,0,0,118.0,True,False,9,0,9,True,False
3,83,0,0,118.0,True,False,5,0,5,True,False
3,84,0,0,130.0,True,False,12,0,12,True,False
3,85,0,0,118.0,True,False,17,0,17,True,False
3,86,0,0,75.0,True,False,11,0,11,True,False
3,87,0,0,49.0,True,True,9,1,9,True,False
3,88,0,0,46.0,True,True,5,0,5,True,False
3,89,0,0,49.0,True,True,7,0,7,True,False
3,90,0,0,26.0,True,True,1,0,1,True,False
3,91,0,0,23.0,True,True,4,0,4,True,False
3,92,0,0,23.0,True,False,16,0,16,True,False
3,93,0,0,26.0,True,True,19,0,19,True,False
3,94,1,1,0.0,True,False,2,0,2,True,True
4,0,0,0,36.0,True,True,10,0,10,True,False
4,1,0,0,30.0,True,False,0,0,0,True,False
4,2,0,0,15.0,True,True,0,0,0,True,False
4,3,0,0,15.0,True,True,0,0,0,True,False
4,5,0,0,161.0,True,True,0,0,0,True,False
4,6,0,0,193.0,True,False,0,0,0,True,False
4,7,0,0,108.0,True,True,0,0,0,True,False
4,8,0,0,108.0,True,False,4,0,4,True,False
4,9,0,0,178.0,True,True,0,0,0,True,False
4,10,0,0,178.0,True,True,12,0,12,True,False
4,11,0,0,63.0,True,True,13,0,13,True,False
4,12,0,0,25.0,True,True,17,0,17,True,False
4,13,0,0,84.0,True,True,4,0,4,True,False
4,14,0,0,147.0,True,True,4,0,4,True,False
4,15,0,0,116.0,True,False,0,0,0,True,False
4,16,0,0,178.0,True,True,6,0,6,True,False
4,17,0,0,187.0,True,True,10,0,10,True,False
4,18,0,0,161.0,True,True,20,0,20,True,False
4,19,0,0,187.0,True,True,0,0,0,True,False
4,20,0,0,161.0,True,True,22,0,22,True,False
4,21,0,0,241.0,True,False,12,0,12,True,False
4,22,0,0,167.0,True,False,6,0,6,True,False
4,23,0,0,158.0,True,True,2,0,2,True,False
4,24,0,0,198.0,True,True,4,0,4,True,False
4,25,0,0,90.0,True,True,8,4,8,True,False
4,26,0,0,24.0,True,True,1,0,1,True,False
4,27,0,0,84.0,True,True,4,0,4,True,False
4,28,0,0,159.0,True,False,2,0,2,True,False
4,29,0,0,113.0,True,True,10,5,10,True,False
4,30,0,0,158.0,True,True,3,0,3,True,False
4,31,0,0,113.0,True,True,9,0,9,True,False
4,32,0,0,159.0,True,False,0,0,0,True,False
4,33,0,0,193.0,True,False,2,0,2,True,False
4,34,0,0,45.0,True,True,0,0,0,True,False
4,35,0,0,40.0,True,True,1,0,1,True,False
4,36,0,0,25.0,True,True,8,1,8,True,False
4,37,0,0,45.0,True,False,20,0,20,True,False
4,38,0,0,45.0,True,True,3,1,3,True,False
4,39,0,0,45.0,True,False,1,0,1,True,False
4,40,0,0,30.0,True,True,12,0,12,True,False
4,41,0,0,34.0,True,True,6,0,6,True,False
4,42,0,0,219.0,True,False,8,0,8,True,False
4,43,0,0,36.0,True,True,0,0,0,True,False
4,44,1,1,0.0,True,True,4,0,4,True,True
4,45,1,1,0.0,True,False,11,0,11,True,False
4,46,0,0,126.0,True,False,11,0,11,True,False
4,47,0,0,193.0,True,False,6,0,6,True,False
4,48,0,0,193.0,True,False,2,0,2,True,False
4,49,0,0,167.0,True,False,24,0,24,True,False
4,50,0,0,167.0,True,False,21,0,21,True,False
4,51,0,0,167.0,True,False,16,0,16,True,False
4,52,0,0,352.0,True,False,2,0,2,True,False
4,53,0,0,219.0,True,False,0,0,0,True,False
4,54,0,0,59.0,True,True,7,1,7,True,False
4,55,0,0,44.0,True,True,13,0,13,True,False
4,56,0,0,261.0,True,False,6,0,6,True,False
4,57,0,0,236.0,True,False,1,0,1,True,False
4,58,0,0,261.0,True,False,10,0,10,True,False
4,59,0,0,32.0,True,False,0,0,0,True,False
4,60,1,1,0.0,True,False,25,0,25,True,True
4,61,0,0,40.0,True,True,11,1,11,True,False
4,62,0,0,59.0,True,True,14,2,14,True,False
4,63,0,0,59.0,True,True,5,0,5,True,False
4,64,0,0,25.0,True,True,0,0,0,True,False
4,65,0,0,288.0,True,False,21,2,21,True,False
4,66,0,0,261.0,True,False,13,0,13,True,False
4,67,0,0,288.0,True,False,0,0,0,True,False
4,68,0,0,313.0,True,False,14,0,14,True,False
4,69,0,0,126.0,True,False,0,0,0,True,False
4,70,0,0,142.0,True,False,9,0,9,True,False
4,71,0,0,62.0,True,True,0,0,0,True,False
4,72,0,0,86.0,True,False,0,0,0,True,False
4,73,0,0,86.0,True,False,6,1,6,True,False
4,74,0,0,86.0,True,False,34,0,34,True,False
4,75,0,0,66.0,True,False,9,0,9,True,False
4,76,0,0,30.0,True,False,16,0,16,True,False
4,77,0,0,34.0,True,True,15,0,15,True,False
4,78,0,0,30.0,True,False,11,0,11,True,False
4,79,0,0,62.0,True,False,19,0,19,True,False
4,80,0,0,66.0,True,True,0,0,0,True,False
4,81,0,0,66.0,True,False,14,0,14,True,False
4,82,0,0,105.0,True,False,9,0,9,True,False
4,83,0,0,105.0,True,False,5,0,5,True,False
4,84,0,0,116.0,True,False,12,0,12,True,False
4,85,0,0,105.0,True,False,17,0,17,True,False
4,86,0,0,66.0,True,False,11,0,11,True,False
4,87,0,0,63.0,True,True,9,1,9,True,False
4,88,0,0,60.0,True,True,5,0,5,True,False
4,89,0,0,63.0,True,True,7,0,7,True,False
4,90,0,0,25.0,True,True,1,0,1,True,False
4,91,0,0,32.0,True,True,4,0,4,True,False
4,92,0,0,32.0,True,False,16,0,16,True,False
4,93,0,0,24.0,True,True,19,0,19,True,False
4,94,0,0,15.0,True,False,2,0,2,True,False
5,0,0,0,125.0,True,True,10,0,10,True,False
5,1,0,0,191.0,True,False,0,0,0,True,False
5,2,0,0,148.0,True,True,0,0,0,True,False
5,3,0,0,148.0,True,True,0,0,0,True,False
5,4,0,0,161.0,True,True,0,0,0,True,False
5,6,0,0,350.0,True,False,0,0,0,True,False
5,7,0,0,59.0,True,True,0,0,0,True,False
5,8,0,0,47.0,True,False,4,0,4,True,False
5,9,0,0,34.0,True,True,0,0,0,True,False
5,10,0,0,27.0,True,True,12,0,12,True,False
5,11,0,0,97.0,True,True,13,0,13,True,False
5,12,0,0,47.0,True,True,17,0,17,True,False
5,13,0,0,62.0,True,True,4,0,4,True,False
5,14,0,0,19.0,True,True,4,0,4,True,False
5,15,0,0,277.0,True,False,0,0,0,True,False
5,16,0,0,34.0,True,True,6,0,6,True,False
5,17,0,0,27.0,True,True,10,0,10,True,False
5,18,1,2,0.0,True,True,20,0,20,True,False
5,19,0,0,27.0,True,True,0,0,0,True,False
5,20,1,1,0.0,True,True,22,0,22,True,True
5,21,0,0,400.0,True,False,12,0,12,True,False
5,22,0,0,318.0,True,False,6,0,6,True,False
5,23,0,0,26.0,True,True,2,0,2,True,False
5,24,0,0,37.0,True,True,4,0,4,True,False
5,25,0,0,83.0,True,True,8,4,8,True,False
5,26,0,0,131.0,True,True,1,0,1,True,False
5,27,0,0,47.0,True,True,4,0,4,True,False
5,28,0,0,318.0,True,False,2,0,2,True,False
5,29,0,0,62.0,True,True,10,5,10,True,False
5,30,0,0,26.0,True,True,3,0,3,True,False
5,31,0,0,19.0,True,True,9,0,9,True,False
5,32,0,0,318.0,True,False,0,0,0,True,False
5,33,0,0,350.0,True,False,2,0,2,True,False
5,34,0,0,205.0,True,True,0,0,0,True,False
5,35,0,0,102.0,True,True,1,0,1,True,False
5,36,0,0,147.0,True,True,8,1,8,True,False
5,37,0,0,205.0,True,False,20,0,20,True,False
5,38,0,0,194.0,True,True,3,1,3,True,False
5,39,0,0,194.0,True,False,1,0,1,True,False
5,40,0,0,191.0,True,True,12,0,12,True,False
5,41,0,0,187.0,True,True,6,0,6,True,False
5,42,0,0,373.0,True,False,8,0,8,True,False
5,43,0,0,142.0,True,True,0,0,0,True,False
5,44,0,0,142.0,True,True,4,0,4,True,False
5,45,0,0,148.0,True,False,11,0,11,True,False
5,46,0,0,283.0,True,False,11,0,11,True,False
5,47,0,0,350.0,True,False,6,0,6,True,False
5,48,0,0,350.0,True,False,2,0,2,True,False
5,49,0,0,318.0,True,False,24,0,24,True,False
5,50,0,0,318.0,True,False,21,0,21,True,False
5,51,0,0,318.0,True,False,16,0,16,True,False
5,52,0,0,512.0,True,False,2,0,2,True,False
5,53,0,0,373.0,True,False,0,0,0,True,False
5,54,0,0,105.0,True,True,7,1,7,True,False
5,55,0,0,59.0,True,True,13,0,13,True,False
5,56,0,0,420.0,True,False,6,0,6,True,False
5,57,0,0,392.0,True,False,1,0,1,True,False
5,58,0,0,420.0,True,False,10,0,10,True,False
5,59,0,0,118.0,True,False,0,0,0,True,False
5,60,0,0,142.0,True,False,25,0,25,True,False
5,61,0,0,118.0,True,True,11,1,11,True,False
