route_index,aircraft_time,aircraft_type,base_airport,passenger_count,service_sequence,offshore_landing_count,utilization,per_leg_load,min_residual_seats,mean_residual_seats,outbound_passenger_count,inbound_passenger_count,shuttle_passenger_count,land_count,land_fraction,fixed_airport_count
0,123,T2,A01,32,F016|F020,2,0.9663978494623656,16|6|16,0,3.3333333333333335,16,16,0,31,0.96875,1
1,126,T1,A02,24,F024,1,1.0,12|12,0,0,12,12,0,14,0.5833333333333334,10
2,116,T2,A01,32,F022,1,1.0,16|16,0,0,16,16,0,32,1.0,0
3,116,T2,A01,32,F022,1,1.0,16|16,0,0,16,16,0,32,1.0,0
4,140,T3,A01,38,F019,1,1.0,19|19,0,0,19,19,0,38,1.0,0
5,148,T3,A01,38,F010,1,1.0,19|19,0,0,19,19,0,37,0.9736842105263158,1
6,164,T2,A03,32,F038,1,1.0,16|16,0,0,16,16,0,32,1.0,0
7,148,T3,A01,38,F028,1,1.0,19|19,0,0,19,19,0,38,1.0,0
8,166,T2,A02,32,F011|F028,2,0.9898167006109979,16|12|16,0,1.3333333333333333,16,16,0,25,0.78125,7
9,163,T3,A01,49,F002|F004,2,1.0,19|19|19,0,0,19,19,11,26,0.5306122448979592,23
10,185,T3,A01,44,F006|F007|F004,3,0.920069884254204,19|18|10|17,0,3,19,17,8,36,0.8181818181818182,8
11,113,T2,A01,32,F017|F030,2,0.9417910447761194,16|3|16,0,4.333333333333333,16,16,0,26,0.8125,6
12,215,T2,A01,32,F002|F011|F001,3,0.8340212264150944,16|2|13|16,0,4.25,16,16,0,25,0.78125,7
13,130,T2,A01,44,F015|F009,2,0.9556962025316456,16|13|15,0,1.3333333333333333,16,15,13,24,0.5454545454545454,20
14,163,T3,A01,47,F008|F003,2,0.9103746061384059,19|19|15,0,1.3333333333333333,19,15,13,25,0.5319148936170213,22
15,200,T3,A02,38,F023,1,1.0,19|19|19,0,0,19,19,0,38,1.0,0
16,169,T3,A01,51,F004|F007,2,0.8421052631578947,19|19|13,0,2,19,13,19,26,0.5098039215686274,25
17,174,T3,A01,38,F007|F006,2,0.9847128193928806,19|9|19,0,3.3333333333333335,19,19,0,35,0.9210526315789473,3
18,211,T2,A01,35,F006|F013|F007|F010,4,0.9105603448275862,16|13|9|6|16,0,4,16,16,3,23,0.6571428571428571,12
19,221,T3,A01,54,F006|F013|F002,3,1.0,19|19|19|19,0,0,19,19,16,38,0.7037037037037037,16
20,236,T3,A01,50,F010|F007|F013|F006,4,0.8464609800362977,15|19|3|17|19,0,4.4,15,19,16,25,0.5,25
21,288,T2,A03,47,F044|F050|F043,3,0.9142599277978339,16|4|16|16|16,0,2.4,16,16,15,31,0.6595744680851063,16
22,205,T2,A03,61,F045|F048|F039,3,0.9839857651245552,16|13|13|16|16,0,1.2,16,16,29,30,0.4918032786885246,31
23,167,T3,A01,47,F002|F003,2,0.987924356345409,19|17|19,0,0.6666666666666666,19,19,9,38,0.8085106382978723,9
24,173,T3,A01,53,F007|F002,2,0.9645833333333333,18|16|19,0,1.3333333333333333,18,19,16,27,0.5094339622641509,26
25,100,T2,A01,24,F014,1,0.75,12|12,4,4,12,12,0,15,0.625,9
26,169,T3,A01,52,F026|F033,2,0.9743618703410888,19|19|18,0,0.3333333333333333,19,18,15,37,0.7115384615384616,15
27,155,T3,A01,45,F011|F015,2,0.9049396540997885,19|19|15,0,1.3333333333333333,19,15,11,26,0.5777777777777777,19
